lang,sentiment,words
O Hin Eng Hin Hin Hin Hin Hin Eng Eng Eng Hin Hin Hin Hin Hin Hin Hin Hin O Eng O Eng O Eng O Eng,positive,@ BeingSalmanKhan Bhaijaan please please please please please please help me sir ji please mein apka bahot bahot bad … https // t . co / uQw8l4Z9un
Eng Eng Eng Eng Hin Hin Hin Hin Eng Eng Eng Eng Eng Eng Hin Hin Hin Hin,positive,Heartiest greetings and congratulations Chowkidar Imandar MODI ji for your latest achievement and may god bless you sir
Eng O Hin Hin Hin Hin Hin Hin Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng O Eng O Eng O Eng O,positive,RT @ SureshNakhua Shubh Din MITOA Vande Mataram Salute to the Armed Forces of the nation for protecting our freedom https // t . co / 5s1FZ …
O Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Eng O Eng O Eng O Eng O Eng,neutral,@ AyeshaBakhsh Yar AAYIsha tera hath to gajrela ne mere hath me diya tha ye USTAD E mohtaram kahan bata ke jaya karo … https // t . co / fDINj7sGPb
O Eng O Eng O Eng O Eng O Eng Hin Hin Hin Eng Hin Hin Eng Hin Hin Hin Hin O,negative,@ tiddi34 @ Umer _ hun @ besmile95 @ MahnoorQueen1 Hahahah kameeni mein already bahir hon is bar pakkri nahi gyee 😂😂😂😂
O Eng Eng Hin Hin Hin Hin Eng Eng Hin Hin Hin Hin Hin Hin Hin O Eng Eng Eng Eng Eng Hin Hin O,negative,@ theskindoctor13 Aamra dada ke baare me tum rumors failata hai tumko lotka dega ped pe . Mordor of democracy by chomdi ka doctor .
Eng O Eng O Eng O Hin O Hin O Eng O O O Eng O Eng O Eng Hin Eng Eng Eng Eng Eng,neutral,RT @ StephenKellett7 @ ckanownik @ Newaz _ Nafisa @ Mish _ 28 @ superbelks @ QasimRashid @ sarperduman That's the quickest follow I've made
O Eng O Eng Hin Hin Hin Hin Hin Hin Hin Hin Eng Hin Hin Hin Hin Hin Hin Hin Hin Hin Eng O Eng O Eng O Hin O Hin,negative,@ RanaSidiq @ MianIftikharHus Army mulk ko doone derahi hai agr yeh martial law lagake in lgon ko mayt ki saza nahi d … https // t . co / IQe1gAr7xY
Eng O Eng Eng Hin Hin Hin Hin Hin Hin Hin Hin Eng Eng Eng Hin Eng Eng Hin Hin Eng Eng Eng Hin Hin O,negative,RT @ Chandan29513267 Hamare desh me jab rojgar hai hi nahi bibhago me recruitments nahi hai to for ye bara bara university paper ka degree …
Eng O Eng O Eng Hin Hin Eng Eng Eng Eng Eng O Eng Eng Eng Eng O Eng O Eng O Eng O Eng Eng O Eng Hin Hin Hin O,positive,RT @ ibis _ lounge TONIGHT is Friday Night Live with jahsung _ rocking the best of # Hiphop # Trap # Afrobeat # Dancehall and # Soca LADIES FREE TI …
O Eng Eng Hin Hin Hin Hin Hin Hin Hin Hin Eng Hin Hin Eng Hin O,neutral,@ ZeeNewsHindi Avi tak toh socha v nahi hoga ye toh idea deraha hai BJP ko 😂
Eng O Eng Eng Eng Eng O Eng Eng Hin Hin Hin Hin Hin Hin Hin Hin Eng Eng O Eng Eng Hin Hin Hin Hin Hin Hin O,positive,RT @ RS9777 It's tym for # ICCworldcup2019 Ek dusare ko bolo aur suno but sabse upar cricket love 🏏 Crown cricket ka Madam G hum le jayeng …
O Hin O Hin Hin Eng Eng Eng Hin Hin Hin Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng O Eng O Eng Eng O Eng,negative,@ anavrittim @ Devahoothi I say it's more chalta hae bhai attitude As Metros r govt controlled except for few lin … https // t co / 0oqzxs9PJd
O Eng O Eng O Hin Eng Hin Hin Eng Hin Hin Hin Hin Hin Hin Hin,neutral,@ jigneshmevani80 @ dgpgujarat @ AhmedabadPolice Yhi to h BJP ka asli chera jo pichhe kerte h
Eng O Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Hin Hin Eng Eng Eng Eng Eng Hin Eng O,positive,RT @ sopharush God Thank you for always seeing that no matter how many times I drift away from you you never hold that against me You a …
O Eng O Eng O Eng Eng Hin Eng Hin Hin Eng Eng Eng Eng O Hin Eng Eng Eng Eng Eng O,negative,@ JaneGummyof3 @ theGSpledge @ scottlawyer Jane you just don't know what you're talking about . Sorry sister you're wrong on Bernie .
O Hin Hin Hin Hin Hin Hin Hin O Hin Hin Hin Hin Hin Eng Eng Hin Hin Hin O Hin Hin O Eng O Eng O Eng O Eng,neutral,@ LambaAlka Manmohan singh kahan se aaye the ..... Is election mein bjp ka koi candidate nahin jeeta hai ... Sirf modi … https // t . co / DSkqLgIm4p
O Hin O Hin Hin Eng Eng Eng Eng O Eng Eng Hin Hin Hin Hin,negative,@ IAmErAijaz @ OnlyOneDubey Kashmir is famous for hospitality 😂😂😂😂😂😂😂😂😂😂. Good joke chalo ek or sunao
